,arrestnumber,page_num,charges,charge_type,charge_counts,charge_IBRcode,charge_statutenumber,charge_warrantdate,chargenum
9454,312016,0.0,Identity Theft,Fel,1.0,26F,14-113.20,06/20/2019,4
9455,309273,0.0,Fail To Appear-release Order,Misd,2.0,90Z,15A-305(B)(2),11/06/2017,1
9456,319818,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),09/03/2020,1
9457,319818,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,09/03/2020,2
9458,319288,0.0,Assault With Deadly Weapon Inflicting SeriousInjury,Misd,1.0,13A,14-32(B),07/26/2020,1
9459,319288,0.0,Injury To Personal Property,Misd,1.0,290,14-160,07/26/2020,2
9460,308849,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,01/19/2019,1
9461,309489,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,02/17/2019,1
9462,309489,0.0,Maintain Dwelling/veh For Controlled Substance,Misd,1.0,35A,90-108(A7),02/17/2019,2
9463,325212,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,07/11/2021,1
9464,310811,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),04/26/2019,1
9465,318401,0.0,"Dumping Rubbish, Trash, Etc On PublicPlayground/park",Misd,1.0,90Z,CO 38-12,05/24/2020,1
9466,314578,0.0,Larceny From Person,Misd,1.0,23H,14-72(B1),10/15/2019,1
9467,317637,0.0,True Bill Of Indictment,Fel,1.0,90Z,15A-305(B)(1),03/16/2020,1
9468,313945,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,09/17/2019,1
9469,313945,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,09/17/2019,2
9470,310883,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,04/19/2019,1
9471,310885,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,01/18/2019,1
9472,309034,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,01/27/2019,1
9473,309289,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,02/06/2019,1
9474,309289,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/06/2019,2
9475,309290,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,02/08/2019,1
9476,309726,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,02/25/2019,1
9477,309726,0.0,Larceny After Burglary/b&e,Fel,1.0,23H,14-72(B2),02/25/2019,2
9478,309726,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,02/25/2019,3
9479,309727,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/28/2019,1
9480,310446,0.0,Larceny (misdemeanor),Misd,2.0,23H,14-72(A) M,04/05/2019,1
9481,310446,0.0,Possessing Stolen Goods,Fel,1.0,280,14-71.1,04/05/2019,2
9482,310447,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Misd,1.0,23F,14-56,04/05/2019,1
9483,310447,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,04/05/2019,2
9484,310442,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,04/05/2019,1
9485,310442,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,04/05/2019,2
9486,310441,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,04/05/2019,1
9487,310441,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,04/05/2019,2
9488,310444,0.0,Fail To Appear-release Order,Fel,1.0,90Z,15A-305(B)(2),04/05/2019,1
9489,310445,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,03/17/2019,1
9490,310445,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,03/17/2019,2
9491,310443,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,01/03/2019,1
9492,310443,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,01/03/2019,2
9493,310443,0.0,Possessing Stolen Goods,Misd,1.0,280,14-71.1,01/03/2019,3
9494,312751,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,07/26/2019,1
9495,313087,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,08/10/2019,1
9496,313087,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Misd,2.0,23F,14-56,08/10/2019,2
9497,306997,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,10/03/2018,1
9498,306997,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,10/03/2018,2
9499,307086,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,10/05/2018,1
9500,307086,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,10/05/2018,2
9501,314602,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,10/19/2019,1
9502,314921,0.0,Manufacture Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)M2,11/04/2019,1
9503,314921,0.0,Possess Cs Public Park Or Within 1000 Feet Of,Fel,1.0,35A,90-95(E)(10),11/04/2019,2
9504,314925,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,10/31/2019,1
9505,314925,0.0,Larceny After Burglary/b&e,Fel,1.0,23H,14-72(B2),10/31/2019,2
9506,309627,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),02/26/2019,1
9507,322122,0.0,Assault With Deadly Weapon Inflicting SeriousInjury,Fel,1.0,13A,14-32(B),02/18/2021,1
9508,315033,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),11/10/2019,1
9509,309198,0.0,Obtaining Property By False Pretenses,Fel,1.0,26A,14-100,12/22/2018,1
9510,329445,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/28/2022,1
9511,325402,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,07/23/2021,1
9512,325402,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,07/23/2021,2
9513,317733,0.0,Assault By Pointing A Gun,Misd,1.0,13A,14-34,04/07/2020,1
9514,317733,0.0,Impersonation Law-enforcement/other PublicOfficer,Misd,1.0,26C,14-277,04/07/2020,2
9515,317733,0.0,False Imprisonment (common Law),Misd,1.0,90Z,FALSEIMP,04/07/2020,3
9516,325711,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,08/15/2021,1
9517,325711,0.0,Discharging Weapons Generally,Misd,1.0,520,CO 46-21,08/15/2021,2
9518,324428,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/19/2021,1
9519,324585,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/18/2021,1
9520,324585,0.0,Drive While License Revoked Not Impaired RevBased,Misd,1.0,9914,20-28(A),05/19/2021,2
9521,324418,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,04/15/2021,1
9522,324418,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,04/15/2021,2
9523,326012,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,09/09/2021,1
9524,315808,0.0,Probation Violation,Fel,1.0,90Z,15A-1345,03/11/2019,1
9525,314097,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,09/24/2019,1
9526,322470,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,03/15/2021,1
9527,322470,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),03/15/2021,2
9528,322470,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,03/15/2021,3
9529,312343,0.0,Robbery With Firearms Or Other DangerousWeapons,Fel,1.0,120,14-87,07/03/2019,1
9530,312343,0.0,Conspiracy To Commit Felony,Fel,1.0,90Z,14-2.4(A),07/03/2019,2
9531,307035,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,10/04/2018,1
9532,307033,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,02/08/2018,1
9533,307033,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,02/08/2018,2
9534,317572,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),12/12/2019,1
9535,310866,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,04/21/2019,1
9536,311013,0.0,Breaking And Entering Building  (misdemeanor),Misd,1.0,220,14-54(B),05/03/2019,1
9537,311013,0.0,Violate Domestic Violence Protective Order,Misd,1.0,90Z,50B-4.1,05/03/2019,2
9538,311888,0.0,Violate Domestic Violence Protective Order,Misd,1.0,90Z,50B-4.1,06/14/2019,1
9539,326141,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,09/16/2021,1
9540,330299,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),04/29/2022,1
9541,330299,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,04/29/2022,2
9542,317759,0.0,Warrant Service For Other Jurisdiction,Fel,3.0,9910,WARR,04/02/2020,1
9543,317759,0.0,Warrant Service For Other Jurisdiction,Fel,2.0,9910,WARR,04/02/2020,2
9544,311440,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,05/23/2019,1
9545,326485,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,10/07/2021,1
9546,326485,0.0,Possess Cs Public Park Or Within 1000 Feet Of,Fel,1.0,35A,90-95(E)(10),10/07/2021,2
9547,327247,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,11/24/2021,1
9548,321549,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,01/10/2021,1
9549,321549,0.0,Transporting Open Container,Misd,1.0,90G,20-138.7,01/10/2021,2
9550,320264,0.0,Concealment Of Merchandise,Misd,1.0,23C,14-72.1(A),10/06/2020,1
9551,309024,0.0,Fail Ret Rental Prop W/written Purchase Option,Misd,1.0,26A,14-168.4,01/09/2018,1
9552,308873,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,01/20/2019,1
9553,308873,0.0,Possess/consump Of Malt Be/unfort Wine-localOrdinance,Misd,1.0,90G,18B-300(C),01/20/2019,2
9554,308873,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,01/20/2019,3
9555,308873,0.0,Probation Violation,Fel,1.0,90Z,15A-305(B)4,10/21/2016,4
9556,312143,0.0,Possess Control Substance Schedule I,Fel,1.0,35A,90-95(A3)1,06/26/2019,1
9557,312143,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,06/26/2019,2
9558,312143,0.0,Trespass (first Degree),Misd,1.0,90J,14-159.12,06/26/2019,3
9559,312600,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),06/10/2019,1
9560,312601,0.0,Possess Control Substance Schedule I,Fel,1.0,35A,90-95(A3)1,06/26/2019,1
9561,312601,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,06/26/2019,2
9562,312601,0.0,Trespass (first Degree),Misd,1.0,90J,14-159.12,06/26/2019,3
9563,321917,0.0,Shoplifting,Misd,1.0,23C,14-72.1,01/22/2021,1
9564,319966,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,08/12/2020,1
9565,310692,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),04/19/2019,1
9566,311540,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/28/2019,1
9567,315933,0.0,Obtaining Property By False Pretenses,Fel,1.0,26A,14-100,12/22/2019,1
9568,315933,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/22/2019,2
9569,319594,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),08/16/2020,1
9570,325787,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,12/11/2020,1
9571,325816,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),08/20/2021,1
9572,322467,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,03/13/2021,1
9573,322467,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,03/13/2021,2
9574,322467,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,03/13/2021,3
9575,322467,0.0,Conspiracy To Commit Felony,Fel,2.0,90Z,14-2.4(A),03/13/2021,4
9576,314807,0.0,Larceny (felony),Fel,1.0,23H,14-72(A) F,10/29/2019,1
9577,319063,0.0,Robbery With Firearms Or Other DangerousWeapons,Fel,1.0,120,14-87,06/08/2020,1
9578,319064,0.0,Larceny From A Merchant-rem/dest/deactAntishoplift Device,Fel,1.0,23C,14-72.11(2),02/26/2020,1
9579,319065,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),07/14/2020,1
9580,321868,0.0,Possess Marijuana Up To 1/2 Oz,Misd,1.0,35A,90-95(D4),01/30/2021,1
9581,321868,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,01/30/2021,2
9582,314141,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),09/26/2019,1
9583,327960,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,08/18/2021,1
9584,327960,0.0,Injury To Personal Property,Misd,1.0,290,14-160,08/18/2021,2
9585,313137,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,08/12/2019,1
9586,313137,0.0,Transport Wine/liquor In PassengerArea/consumption By Drive,Misd,1.0,90G,18B-401(A),08/12/2019,2
9587,325244,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),07/13/2021,1
9588,321534,0.0,"Carry Concealed Weapon - Alcohol, ProhibitedPlaces",Misd,1.0,520,14-415.11(C),01/08/2021,1
9589,321534,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,01/08/2021,2
9590,321640,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/08/2019,1
9591,321640,0.0,Injury To Personal Property,Misd,1.0,290,14-160,04/08/2019,2
9592,316434,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,01/15/2020,1
9593,314687,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),10/16/2019,1
9594,327437,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),08/29/2021,1
9595,327437,0.0,Breaking Or Entering Buildings Generally,Misd,1.0,220,14-54,08/29/2021,2
9596,311537,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/29/2019,1
9597,311537,0.0,False Imprisonment (common Law),Misd,1.0,90Z,FALSEIMP,05/29/2019,2
9598,311537,0.0,Interfering With Emergency Communication,Misd,1.0,90Z,14-286.2,05/29/2019,3
9599,321813,0.0,Possess Control Substance Schedule I,Fel,1.0,35A,90-95(A3)1,01/25/2021,1
9600,321813,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,01/25/2021,2
9601,321813,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,01/25/2021,3
9602,311688,0.0,Drive While License Revoked Not Impaired RevBased,Misd,1.0,9914,20-28(A),03/26/2019,1
9603,315852,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,12/07/2019,1
9604,315852,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/07/2019,2
9605,315617,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,12/07/2019,1
9606,317187,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/21/2020,1
9607,322243,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/27/2021,1
9608,322243,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,02/19/2021,2
9609,322369,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,02/27/2020,1
9610,322369,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,02/17/2021,2
9611,317291,0.0,Possess Control Substance Schedule Ii,Misd,1.0,35A,90-95(A3)2,02/26/2020,1
9612,317291,0.0,Possess Control Substance Schedule I,Fel,1.0,35A,90-95(A3)1,02/26/2020,2
9613,317291,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,02/26/2020,3
9614,317291,0.0,Speeding,Misd,1.0,9914,20-141,02/27/2020,4
9615,317291,0.0,Careless And Reckless Driving,Misd,1.0,9914,20-140,02/27/2020,5
9616,317356,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,03/01/2020,1
9617,317356,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,03/01/2020,2
9618,322411,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),03/11/2021,1
9619,322415,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),01/27/2021,1
9620,322416,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),01/27/2021,1
9621,330506,0.0,Possess Cs On School Or Within 1000 Feet Of,Fel,1.0,35A,90-95(E)(8),05/13/2022,1
9622,330506,0.0,Possess Witm/s/d Controll Substance Schedule Vi,Fel,1.0,35A,90-95(A1)P6,05/13/2022,2
9623,330506,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),05/13/2022,3
9624,330506,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,05/13/2022,4
9625,327055,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),11/16/2021,1
9626,325274,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,07/15/2021,1
9627,325274,0.0,No Operator License,Misd,1.0,9914,20-7(A),07/15/2021,2
9628,316808,0.0,Shoplifting,Misd,1.0,23C,14-72.1,02/02/2020,1
9629,316520,0.0,Breaking And Entering Building  (felony),Fel,1.0,220,14-54(A),01/18/2020,1
9630,329533,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,03/06/2022,1
9631,329533,0.0,Drive While License Revoked For Impaired DrivAft Rev Notice,Misd,1.0,9914,20-28(A3)(1),03/06/2022,2
9632,308816,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),01/11/2012,1
9633,318828,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,12/21/2019,1
9634,318828,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/22/2019,2
9635,307860,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),10/16/2018,1
9636,307861,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,11/24/2018,1
9637,310423,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),03/05/2019,1
9638,320170,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,03/23/2018,1
9639,320733,0.0,Kidnapping/serious Bodily Harm,Fel,1.0,100,14-39(A3),09/08/2020,1
9640,320733,0.0,Second Degree Forcible Rape,Fel,1.0,11A,14-27.22,09/08/2020,2
9641,324018,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),02/10/2021,1
9642,324018,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),02/10/2021,2
9643,320139,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),09/13/2020,1
9644,320139,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),01/15/2020,2
9645,307604,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,10/18/2018,1
9646,309097,0.0,Assault By Strangulation Inflict Physical Injury,Fel,1.0,13A,14-32.4(B),11/15/2014,1
9647,309097,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),11/15/2014,2
9648,309097,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,11/15/2014,3
9649,308612,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),09/28/2016,1
9650,308612,0.0,Fail To Appear,Misd,1.0,90Z,15A-305(B)(2),10/12/2016,2
9651,310722,0.0,"B&e-vehicle, Rr Cars, Other Motor Vehicles",Fel,1.0,23F,14-56,04/11/2019,1
9652,310722,0.0,Larceny After Burglary/b&e,Fel,1.0,23H,14-72(B2),04/11/2019,2
9653,310722,0.0,Obtaining Property By False Pretenses,Fel,1.0,26A,14-100,04/11/2019,3
9654,319750,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,08/27/2020,1
9655,321706,0.0,Possess Control Substance Schedule Vi,Misd,1.0,35A,90-95(A3)6,09/18/2020,1
9656,307043,0.0,Common Law Robbery,Fel,1.0,120,14-87.1,10/03/2018,1
9657,307043,0.0,Assault Law Enforcement Or State Officer,Misd,1.0,13B,14-33(C4),10/03/2018,2
9658,307043,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,09/28/2018,3
9659,307043,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,10/03/2018,4
9660,324179,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,05/02/2021,1
9661,327649,0.0,Warrant Service For Other Jurisdiction,Fel,1.0,9910,WARR,12/08/2021,1
9662,329885,0.0,Possess Wit M/s/d Control Substance Schedule Ii,Fel,1.0,35A,90-95(A1)P2,03/23/2022,1
9663,329885,0.0,Maintain Dwelling/veh For Controlled Substance,Fel,1.0,35A,90-108(A7),03/23/2022,2
9664,329885,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,03/23/2022,3
9665,329885,0.0,Child Abuse A General Misdemeanor,Misd,1.0,90F,14-318.2,03/23/2022,4
9666,310467,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),04/07/2019,1
9667,311675,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,06/05/2019,1
9668,311675,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,06/05/2019,2
9669,312331,0.0,Possess Control Substance Schedule Ii,Fel,1.0,35A,90-95(A3)2,07/07/2019,1
9670,312331,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),07/07/2019,2
9671,311333,0.0,Malicious Conduct By Prisoner,Fel,1.0,13B,14-258.4,04/21/2019,1
9672,311333,0.0,Assault Law Enforcement Or State Officer,Misd,1.0,13B,14-33(C4),04/21/2019,2
9673,311333,0.0,Possession Of Drug Paraphernalia,Misd,1.0,35B,90-113.22,04/21/2019,3
9674,311556,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),05/21/2019,1
9675,311556,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,05/21/2019,2
9676,311384,0.0,Simple Assault & Battery Or Affray,Misd,1.0,13B,14-33(A),05/21/2019,1
9677,311384,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,05/21/2019,2
9678,311554,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,05/29/2019,1
9679,312303,0.0,Public Urination And Defication Prohibited,Misd,1.0,90Z,CO 26-2,06/24/2019,1
9680,312175,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,06/28/2019,1
9681,312203,0.0,Larceny (misdemeanor),Misd,1.0,23H,14-72(A) M,06/29/2019,1
9682,312844,0.0,Carrying Concealed Weapons,Misd,1.0,520,14-269,07/30/2019,1
9683,312844,0.0,Disorderly Conduct,Misd,1.0,90C,14-288.4,07/30/2019,2
9684,314793,0.0,Disorderly Conduct At Bus Rr  Or AirportStationsus,Misd,1.0,90C,14-275.1,10/29/2019,2
9685,314793,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,10/29/2019,3
9686,319937,0.0,Malicious Conduct By Prisoner,Fel,1.0,13B,14-258.4,08/23/2020,1
9687,319937,0.0,Possess/consump Of Malt Be/unfort Wine-localOrdinance,Misd,1.0,90G,18B-300(C),08/23/2020,2
9688,322041,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,02/13/2021,1
9689,321907,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,02/02/2021,1
9690,317621,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),03/28/2020,1
9691,312451,0.0,Breaking And Entering Building  (felony),Misd,1.0,220,14-54(A),07/03/2018,1
9692,312849,0.0,Receiving Or Transferring Stolen Vehicles,Fel,1.0,280,20-106,07/31/2019,1
9693,312971,0.0,Indecent Exposure,Misd,1.0,90C,14-190.9,08/03/2019,1
9694,312971,0.0,Public Urination And Defication Prohibited,Misd,1.0,90Z,CO 26-2,08/03/2019,2
9695,312570,0.0,Obtaining Property By False Pretenses,Fel,1.0,26A,14-100,04/11/2019,1
9696,312571,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),04/10/2018,1
9697,310374,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),04/02/2019,1
9698,310376,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),10/30/2018,1
9699,310376,0.0,Fail To Appear-criminal Summons Or Citation,Misd,1.0,90Z,15A-305(B)(3),10/30/2018,2
9700,314729,0.0,Assault Inflict Serious Injury Or Awdw,Misd,1.0,13A,14-33(C1),10/26/2019,1
9701,314729,0.0,Receiving Or Transferring Stolen Vehicles,Fel,1.0,280,20-106,10/26/2019,2
9702,314729,0.0,Driving While Impaired,Misd,1.0,90D,20-138.1,10/26/2019,3
9703,314729,0.0,Hit And Run (misdemeanor),Misd,1.0,9914,20-166(C),10/26/2019,4
9704,314729,0.0,Drive While License Revoked Not ImpairedRev Based,Misd,1.0,9914,20-28(A),10/26/2019,5
9705,328050,0.0,Shoplifting,Misd,1.0,23C,14-72.1,02/03/2022,1
9706,319390,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,08/03/2020,1
9707,327558,0.0,Fail To Appear-release Order,Misd,1.0,90Z,15A-305(B)(2),05/07/2021,1
9708,313871,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,09/13/2019,1
9709,330393,0.0,Assault On Female,Misd,1.0,13B,14-33(C2),05/06/2022,1
9710,314393,0.0,Trespass (second Degree),Misd,1.0,90J,14-159.13,10/06/2019,1
9711,322488,1.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,03/12/2021,1
9712,322488,1.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,03/12/2021,2
9713,319827,0.0,Possession Of Firearms  Etc By Felon Prohibited,Fel,1.0,520,14-415.1,09/03/2020,1
9714,319827,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,09/03/2020,2
9715,314153,0.0,Communicating Threats,Misd,1.0,13C,14-277.1,09/13/2019,1
9716,314153,0.0,Resist Delay Obstruct Public Officer,Misd,1.0,90Z,14-223,09/13/2019,2
9717,314154,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/02/2019,1
9718,314154,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/02/2019,2
9719,314154,0.0,Warrant Service For Other Jurisdiction,Misd,1.0,9910,WARR,01/02/2019,3
